G_sol,DeltaG_sol,volume,sol_dip,O_charges,C_charges,Most_neg,Most_pos,Het_charges,MW,SASA,LogS
-27135.1596,-7.1739,341.431,2.3999,-0.27974,0.05268,-0.27974,0.11756,-0.67877,380.9126,449.0848389,-6.29
-26180.1369,30.2122,277.411,2.36537,-0.44342,0.43773,-0.44342,0.29168,-0.80958,215.353,442.8586121,-3.4
-19424.7469,-0.1754,153.189,1.88435,-0.38032,0.11739,-0.38032,0.2066,-0.38032,102.176,291.6720581,-0.62
-20109.4886,-43.9572,141.08,2.21323,-0.48742,0.3948,-0.48742,0.43112,-1.17782,122.1262,288.7565308,0.61
-24328.5811,-263.6322,195.122,8.13776,-1.50494,0.45713,-0.44018,0.52607,-1.03885,201.5659,347.6925964,-2.66815
-22037.2882,-266.4271,165.285,2.89214,-0.7557,0.62354,-0.37996,0.26137,-0.7557,118.1754,344.4158325,-0.43
-17486.2895,-22.3779,88.2046,3.11434,-0.7568,0.49839,-0.43902,0.38089,-1.10803,75.067,221.2525482,0.521792
-18429.484,-12.4364,118.125,1.81694,-0.38075,0.18551,-0.38075,0.15658,-0.38075,86.1334,258.708252,-0.03
-28271.3473,50.936,292.477,4.48474,-0.38767,0.26918,-0.19414,0.11581,-0.59947,321.9744,448.1057434,-8.770062
-29902.5873,263.6522,416.699,3.74451,-1.12681,0.45094,-0.44295,0.3684,-1.12681,330.4662,554.5235596,-5.18
-24715.5703,112.5944,216.013,0.0051142,-1.5074,1.12579,-0.43385,0.38323,-1.5074,174.1962,403.8544312,-0.959
-16750.8523,-46.2186,77.2092,4.49247,-0.49439,0.3755,-0.49439,0.3628,-0.86723,59.0676,209.3953094,1.58
-22154.9495,-14.4603,188.762,2.20626,0,-0.43029,-0.07432,0.07637,-0.07432,207.0693,336.5732727,-4.35
-26995.5921,198.872,292.564,4.53619,-1.65241,1.40578,-0.47161,0.4367,-2.43817,250.2536,467.513855,-0.918
-28966.3916,-506.8286,287.738,12.2943,-3.08973,0.44045,-0.77861,1.90816,-1.72519,331.2841,453.0450439,-3.02
-18509.6884,-0.3583,145.711,0.0186762,0,-0.11447,-0.0187,0.01095,0,98.1876,290.4169312,-3.52
-16422.0147,4.3108,85.6188,2.01559,0,-0.0296,-0.06201,0.03241,-0.06084,62.1294,217.2097015,-0.6
-30521.1225,-127.8554,327.189,6.28674,-0.8503,0.22193,-0.55129,0.73205,-0.69724,274.3907,535.8725586,-4.23
-29691.1652,28.234,351.537,3.88397,-1.46103,0.91702,-0.41907,0.42905,-1.46103,278.3474,579.3273926,-4.33587
-23280.3357,-2.7037,237.104,0.144136,0,-0.60306,-0.09439,0.0758,0,192.2598,397.0338745,-5.85
-20915.534,49.1028,151.387,6.07147,-0.79033,-0.12957,-0.39971,0.53031,-0.62048,138.1256,295.538208,-1.96
